userid	genesymbol	genename	entrezgene
ENSDARG00000021366	fbp1a	fructose-1,6-bisphosphatase 1a	335231
ENSDARG00000046143	prkab1b	protein kinase, AMP-activated, beta 1 non-catalytic subunit, b	335232
ENSDARG00000014218	mecp2	methyl CpG binding protein 2	335250
ENSDARG00000059287	mak	male germ cell-associated kinase	335339
ENSDARG00000025081	grnb	granulin b	335453
ENSDARG00000009657	fgfr1op2	FGFR1 oncogene partner 2	335511
ENSDARG00000017741	g3bp1	GTPase activating protein (SH3 domain) binding protein 1	335512
ENSDARG00000070480	agr2	anterior gradient 2	335616
ENSDARG00000040485	dfna5b	deafness, autosomal dominant 5 b	335722
ENSDARG00000025889	usp14	ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase)	335736
ENSDARG00000004754	hspa4a	heat shock protein 4a	335865
ENSDARG00000009724	rpn2	ribophorin II	335985
ENSDARG00000003531	tcea1	transcription elongation factor A (SII), 1	336105
ENSDARG00000039958	utp11l	UTP11-like, U3 small nucleolar ribonucleoprotein (yeast)	336149
ENSDARG00000075545	si:dkey-89b17.4	si:dkey-89b17.4	336271
ENSDARG00000011665	aldoaa	aldolase a, fructose-bisphosphate, a	336425
ENSDARG00000056378	ifi30	interferon, gamma-inducible protein 30	336503
ENSDARG00000098820	ftr67	finTRIM family, member 67	336567
ENSDARG00000028542	si:ch211-114c12.2	si:ch211-114c12.2	336578
ENSDARG00000009212	ppiaa	peptidylprolyl isomerase Aa (cyclophilin A)	336612
ENSDARG00000035018	thy1	Thy-1 cell surface antigen	336617
ENSDARG00000009350	atg3	autophagy related 3	336632
ENSDARG00000002344	tubb4b	tubulin, beta 4B class IVb	336681
ENSDARG00000054312	slc38a6	solute carrier family 38, member 6	336741
ENSDARG00000039345	drg1	developmentally regulated GTP binding protein 1	336823
ENSDARG00000024026	sdf2	stromal cell-derived factor 2	336879
ENSDARG00000030116	susd6	sushi domain containing 6	336888
ENSDARG00000045514	atp5c1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	336957
ENSDARG00000014817	ranbp1	RAN binding protein 1	337046
ENSDARG00000043357	tbl2	transducin (beta)-like 2	337068
ENSDARG00000054530	rars	arginyl-tRNA synthetase	337070
ENSDARG00000056804	si:dkey-40g16.6	si:dkey-40g16.6	337166
ENSDARG00000077297	nbr1	neighbor of brca1 gene 1	337168
ENSDARG00000033738	zgc:153867	zgc:153867	337226
ENSDARG00000100742	reep5	receptor accessory protein 5	337237
ENSDARG00000068404	tbcb	tubulin folding cofactor B	337350
ENSDARG00000071031	snx1a	sorting nexin 1a	337386
ENSDARG00000006915	arl8ba	ADP-ribosylation factor-like 8Ba	337424
ENSDARG00000076318	atp6v1ab	ATPase, H+ transporting, lysosomal, V1 subunit Ab	337583
ENSDARG00000039830	gng5	guanine nucleotide binding protein (G protein), gamma 5	337838
ENSDARG00000056557	copb1	coatomer protein complex, subunit beta 1	338138
ENSDARG00000008219	crygm4	crystallin, gamma M4	338225
ENSDARG00000007682	ppdpfa	pancreatic progenitor cell differentiation and proliferation factor a	338304
ENSDARG00000051957	selm	selenoprotein M	352913
ENSDARG00000025436	msrb1a	methionine sulfoxide reductase B1a	352916
ENSDARG00000104093	mchr1a	melanin-concentrating hormone receptor 1a	353181
ENSDARG00000018958	nrarpb	notch-regulated ankyrin repeat protein b	353225
ENSDARG00000010097	f9a	coagulation factor IXa	359826
ENSDARG00000088048	fgf18a	fibroblast growth factor 18a	359829
ENSDARG00000061226	timp2a	TIMP metallopeptidase inhibitor 2a	359835
ENSDARG00000102824	pcdh10b	protocadherin 10b	360138
ENSDARG00000027552	mapk1	mitogen-activated protein kinase 1	360144
ENSDARG00000077383	anxa11a	annexin A11a	368215
ENSDARG00000055455	gpm6aa	glycoprotein M6Aa	368223
ENSDARG00000037654	pmm2	phosphomannomutase 2	368229
ENSDARG00000035913	yars	tyrosyl-tRNA synthetase	368235
ENSDARG00000088828	paqr8	progestin and adipoQ receptor family member VIII	368254
ENSDARG00000004311	ldlrap1a	low density lipoprotein receptor adaptor protein 1a	368278
ENSDARG00000035957	gmnn	geminin, DNA replication inhibitor	368320
ENSDARG00000014013	lbr	lamin B receptor	368360
ENSDARG00000000019	ube2h	ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast)	368425
ENSDARG00000068557	htr5ab	5-hydroxytryptamine (serotonin) receptor 5A, genome duplicate b	368475
ENSDARG00000040730	wdr75	WD repeat domain 75	368478
ENSDARG00000000476	pms1	PMS1 homolog 1, mismatch repair system component	368631
ENSDARG00000079605	prmt5	protein arginine methyltransferase 5	368664
ENSDARG00000007989	nedd8	neural precursor cell expressed, developmentally down-regulated 8	368667
ENSDARG00000039578	pa2g4a	proliferation-associated 2G4, a	368737
ENSDARG00000036787	abcb3l1	ATP-binding cassette, sub-family B (MDR/TAP), member 3 like 1	368771
ENSDARG00000000540	asnsd1	asparagine synthetase domain containing 1	368827
ENSDARG00000100209	prpf39	PRP39 pre-mRNA processing factor 39 homolog (yeast)	368864
ENSDARG00000014159	mtdha	metadherin a	368910
ENSDARG00000022303	higd1a	HIG1 hypoxia inducible domain family, member 1A	373084
ENSDARG00000003035	hspa9	heat shock protein 9	373085
ENSDARG00000008363	mcl1b	myeloid cell leukemia 1b	373102
ENSDARG00000016143	xiap	X-linked inhibitor of apoptosis	373108
ENSDARG00000019335	hes6	hes family bHLH transcription factor 6	373116
ENSDARG00000058088	aifm1	apoptosis-inducing factor, mitochondrion-associated 1	373125
ENSDARG00000058702	vax2	ventral anterior homeobox 2	373869
ENSDARG00000021916	vax1	ventral anterior homeobox 1	373870
ENSDARG00000104290	ripk2	receptor-interacting serine-threonine kinase 2	373874
ENSDARG00000015474	ppp2r5ea	protein phosphatase 2, regulatory subunit B', epsilon isoform a	373881
ENSDARG00000051746	cecr1a	cat eye syndrome chromosome region, candidate 1a	373884
ENSDARG00000017882	rdh1	retinol dehydrogenase 1	378440
ENSDARG00000070781	gjd2b	gap junction protein delta 2b	378444
ENSDARG00000059460	sbf2	SET binding factor 2	378456
ENSDARG00000006603	csrp1a	cysteine and glycine-rich protein 1a	378726
ENSDARG00000012135	fbxl2	F-box and leucine-rich repeat protein 2	378737
ENSDARG00000012684	atp2b1a	ATPase, Ca++ transporting, plasma membrane 1a	378746
ENSDARG00000091831	ddx27	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27	378844
ENSDARG00000103846	hspa5	heat shock protein 5	378848
ENSDARG00000037618	ddit4	DNA-damage-inducible transcript 4	378866
ENSDARG00000002330	lhx8a	LIM homeobox 8a	378959
ENSDARG00000033735	ncf1	neutrophil cytosolic factor 1	378966
ENSDARG00000069099	tmco1	transmembrane and coiled-coil domains 1	378980
ENSDARG00000039211	zgc:77439	zgc:77439	378987
ENSDARG00000003570	hsp90b1	heat shock protein 90, beta (grp94), member 1	386590
ENSDARG00000012899	ddx49	DEAD (Asp-Glu-Ala-Asp) box polypeptide 49	386632
ENSDARG00000102407	cep97	centrosomal protein 97	386640
ENSDARG00000029075	pfkfb4b	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4b	386663
ENSDARG00000037997	tubb5	tubulin, beta 5	386701
ENSDARG00000058868	apc	adenomatous polyposis coli	386762
ENSDARG00000044167	padi2	peptidyl arginine deiminase, type II	386792
ENSDARG00000037397	ssrp1a	structure specific recognition protein 1a	386844
ENSDARG00000053130	pcp4a	Purkinje cell protein 4a	386848
ENSDARG00000020232	eif6	eukaryotic translation initiation factor 6	386850
ENSDARG00000096749	si:dkey-21c1.6	si:dkey-21c1.6	386981
ENSDARG00000036967	smox	spermine oxidase	387290
ENSDARG00000031100	ivns1abpa	influenza virus NS1A binding protein a	387591
ENSDARG00000007092	xab2	XPA binding protein 2	387600
ENSDARG00000020986	ctu1	cytosolic thiouridylase subunit 1 homolog (S. pombe)	393098
ENSDARG00000043972	ppp2r3c	protein phosphatase 2, regulatory subunit B'', gamma	393100
ENSDARG00000030830	cmtr1	cap methyltransferase 1	393102
ENSDARG00000098433	utp6	UTP6, small subunit (SSU) processome component, homolog (yeast)	393107
ENSDARG00000042978	cyp2p6	cytochrome P450, family 2, subfamily P, polypeptide 6	393108
ENSDARG00000052419	ankrd12	ankyrin repeat domain 12	393119
ENSDARG00000019581	uso1	USO1 vesicle transport factor	393124
ENSDARG00000004160	reep3b	receptor accessory protein 3b	393130
ENSDARG00000104177	cpne3	copine III	393136
ENSDARG00000038432	actr10	actin-related protein 10 homolog (S. cerevisiae)	393139
ENSDARG00000020764	slmapb	sarcolemma associated protein b	393146
ENSDARG00000041376	rmi1	RMI1, RecQ mediated genome instability 1, homolog (S. cerevisiae)	393149
ENSDARG00000007302	sh3gl3b	SH3-domain GRB2-like 3b	393150
ENSDARG00000016255	chmp4ba	charged multivesicular body protein 4Ba	393164
ENSDARG00000042630	hebp2	heme binding protein 2	393167
ENSDARG00000044766	mitd1	MIT, microtubule interacting and transport, domain containing 1	393170
ENSDARG00000044513	tpst1l	tyrosylprotein sulfotransferase 1, like	393171
ENSDARG00000087962	rpap3	RNA polymerase II associated protein 3	393173
ENSDARG00000056984	rad9a	RAD9 checkpoint clamp component A	393176
ENSDARG00000002967	pdap1b	pdgfa associated protein 1b	393179
ENSDARG00000040033	trmt11	tRNA methyltransferase 11 homolog (S. cerevisiae)	393185
ENSDARG00000002754	pdcd2l	programmed cell death 2-like	393192
ENSDARG00000090219	wdr45	WD repeat domain 45	393200
ENSDARG00000036848	slc43a2a	solute carrier family 43 (amino acid system L transporter), member 2a	393221
ENSDARG00000015254	fzr1a	fizzy/cell division cycle 20 related 1a	393223
ENSDARG00000023950	znhit3	zinc finger, HIT-type containing 3	393243
ENSDARG00000002298	ankrd22	ankyrin repeat domain 22	393244
ENSDARG00000070674	psmd6	proteasome 26S subunit, non-ATPase 6	393261
ENSDARG00000029445	zgc:56676	zgc:56676	393273
ENSDARG00000007405	strap	serine/threonine kinase receptor associated protein	393274
ENSDARG00000069878	snu13a	SNU13 homolog, small nuclear ribonucleoprotein a (U4/U6.U5)	393282
ENSDARG00000023160	snrnp40	small nuclear ribonucleoprotein 40 (U5)	393292
ENSDARG00000041237	med18	mediator of RNA polymerase II transcription, subunit 18 homolog (yeast)	393306
ENSDARG00000028957	maff	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog F	393307
ENSDARG00000042873	slc25a27	solute carrier family 25, member 27	393312
ENSDARG00000045877	ube2nb	ubiquitin-conjugating enzyme E2Nb	393313
ENSDARG00000100531	abhd14b	abhydrolase domain containing 14B	393338
ENSDARG00000022560	clcnk	chloride channel K	393353
ENSDARG00000036040	atg13	ATG13 autophagy related 13 homolog (S. cerevisiae)	393405
ENSDARG00000017931	ddx26b	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B	393406
ENSDARG00000035544	etnppl	ethanolamine-phosphate phospho-lyase	393421
ENSDARG00000016775	aqr	aquarius intron-binding spliceosomal factor	393436
ENSDARG00000016481	ptpn2a	protein tyrosine phosphatase, non-receptor type 2, a	393438
ENSDARG00000026629	gmds	GDP-mannose 4,6-dehydratase	393461
ENSDARG00000051902	prmt7	protein arginine methyltransferase 7	393475
ENSDARG00000012261	eftud2	elongation factor Tu GTP binding domain containing 2	393480
ENSDARG00000033436	mboat7	membrane bound O-acyltransferase domain containing 7	393509
ENSDARG00000001880	stx3a	syntaxin 3A	393515
ENSDARG00000022845	lias	lipoic acid synthetase	393528
ENSDARG00000043581	gadd45aa	growth arrest and DNA-damage-inducible, alpha, a	393548
ENSDARG00000017388	gstt1b	glutathione S-transferase theta 1b	393556
ENSDARG00000055857	dopey2	dopey family member 2	393582
ENSDARG00000032277	rars2	arginyl-tRNA synthetase 2, mitochondrial (putative)	393589
ENSDARG00000054259	nat10	N-acetyltransferase 10	393617
ENSDARG00000045661	irf7	interferon regulatory factor 7	393650
ENSDARG00000098355	atp5h	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit d	393675
ENSDARG00000013414	lin7a	lin-7 homolog A (C. elegans)	393682
ENSDARG00000028889	ndufb10	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 10	393703
ENSDARG00000003151	skp1	S-phase kinase-associated protein 1	393716
ENSDARG00000013044	ndufv2	NADH dehydrogenase (ubiquinone) flavoprotein 2	393720
ENSDARG00000098588	gchfr	GTP cyclohydrolase I feedback regulator	393735
ENSDARG00000027418	trappc4	trafficking protein particle complex 4	393737
ENSDARG00000008706	paip2b	poly(A) binding protein interacting protein 2B	393739
ENSDARG00000059304	chchd2	coiled-coil-helix-coiled-coil-helix domain containing 2	393740
ENSDARG00000007285	mrpl57	mitochondrial ribosomal protein L57	393748
ENSDARG00000016676	gnao1a	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O, a	393760
ENSDARG00000019752	rom1a	retinal outer segment membrane protein 1a	393767
ENSDARG00000008551	pole3	polymerase (DNA directed), epsilon 3 (p17 subunit)	393774
ENSDARG00000056642	hdac9b	histone deacetylase 9b	393789
ENSDARG00000035719	arl5c	ADP-ribosylation factor-like 5C	393819
ENSDARG00000010113	ndufb8	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8	393829
ENSDARG00000032098	c8g	complement component 8, gamma polypeptide	393837
ENSDARG00000011958	ctnnbl1	catenin, beta like 1	393840
ENSDARG00000015006	dnm1l	dynamin 1-like	393896
ENSDARG00000026801	stau2	staufen double-stranded RNA binding protein 2	393899
ENSDARG00000020497	rab7	RAB7, member RAS oncogene family	393902
ENSDARG00000031971	kdelc1	KDEL (Lys-Asp-Glu-Leu) containing 1	393905
ENSDARG00000044484	cdc23	CDC23 (cell division cycle 23, yeast, homolog)	393907
ENSDARG00000012946	syap1	synapse associated protein 1	393916
ENSDARG00000016239	psmd13	proteasome 26S subunit, non-ATPase 13	393922
ENSDARG00000002271	zfand5b	zinc finger, AN1-type domain 5b	393923
ENSDARG00000021647	gnai1	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	393946
ENSDARG00000076526	gar1	GAR1 homolog, ribonucleoprotein	393950
ENSDARG00000026180	prpf8	pre-mRNA processing factor 8	393951
ENSDARG00000011418	sigmar1	sigma non-opioid intracellular receptor 1	393952
ENSDARG00000033175	snrpe	small nuclear ribonucleoprotein polypeptide E	393979
ENSDARG00000043105	qtrt1	queuine tRNA-ribosyltransferase 1	393985
ENSDARG00000038074	ergic3	ERGIC and golgi 3	393990
ENSDARG00000045463	ralaa	v-ral simian leukemia viral oncogene homolog Aa (ras related)	393993
ENSDARG00000090778	ttll1	tubulin tyrosine ligase-like family, member 1	393994
ENSDARG00000090585	gpc1b	glypican 1b	393995
ENSDARG00000010442	rnf11a	ring finger protein 11a	393996
ENSDARG00000013561	pgm1	phosphoglucomutase 1	394000
ENSDARG00000055760	srm	spermidine synthase	394009
ENSDARG00000008243	cct8	chaperonin containing TCP1, subunit 8 (theta)	394037
ENSDARG00000035427	surf6	surfeit 6	394040
ENSDARG00000002002	lmcd1	LIM and cysteine-rich domains 1	394045
ENSDARG00000018106	eif2b3	eukaryotic translation initiation factor 2B, subunit 3 gamma	394049
ENSDARG00000104555	sh2d3cb	SH2 domain containing 3Cb	394051
ENSDARG00000102978	eif4a3	eukaryotic translation initiation factor 4A3	394053
ENSDARG00000024209	wasf2	WAS protein family, member 2	394056
ENSDARG00000042851	srp9	signal recognition particle 9	394071
ENSDARG00000003200	foxm1	forkhead box M1	394072
ENSDARG00000035324	hnrpl	heterogeneous nuclear ribonucleoprotein L	394074
ENSDARG00000001057	bysl	bystin-like	394081
ENSDARG00000054578	arl6ip1	ADP-ribosylation factor-like 6 interacting protein 1	394087
ENSDARG00000010789	homer3	homer scaffolding protein 3	394088
ENSDARG00000011555	spag7	sperm associated antigen 7	394100
ENSDARG00000021439	ncoa4	nuclear receptor coactivator 4	394104
ENSDARG00000007959	hibadhb	3-hydroxyisobutyrate dehydrogenase b	394135
ENSDARG00000016375	asns	asparagine synthetase	394138
ENSDARG00000044688	dusp4	dual specificity phosphatase 4	394146
ENSDARG00000012295	bcs1l	BC1 (ubiquinol-cytochrome c reductase) synthesis-like	394157
ENSDARG00000012572	polr3f	polymerase (RNA) III (DNA directed) polypeptide F	394162
ENSDARG00000099256	pum1	pumilio RNA-binding family member 1	394176
ENSDARG00000056601	plekha3	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 3	394182
ENSDARG00000021220	hmgcl	3-hydroxymethyl-3-methylglutaryl-CoA lyase	394190
ENSDARG00000013397	bnip2	BCL2/adenovirus E1B interacting protein 2	394197
ENSDARG00000003952	pfn2	profilin 2	394235
ENSDARG00000008383	arpc1a	actin related protein 2/3 complex, subunit 1A	394243
ENSDARG00000013076	bmi1b	bmi1 polycomb ring finger oncogene 1b	394249
ENSDARG00000019062	arpc5b	actin related protein 2/3 complex, subunit 5B	399482
ENSDARG00000037203	insig2	insulin induced gene 2	399645
ENSDARG00000039130	cdkn3	cyclin-dependent kinase inhibitor 3	402796
ENSDARG00000016093	qtrtd1	queuine tRNA-ribosyltransferase domain containing 1	402798
ENSDARG00000075380	kri1	KRI1 homolog	402800
ENSDARG00000070454	pla2g12a	phospholipase A2, group XIIA	402802
ENSDARG00000039338	gadd45gip1	growth arrest and DNA-damage-inducible, gamma interacting protein 1	402803
ENSDARG00000041991	rrp9	ribosomal RNA processing 9, small subunit (SSU) processome component, homolog (yeast)	402808
ENSDARG00000003757	cnpy1	canopy1	402819
ENSDARG00000042900	gtpbp1l	GTP binding protein 1, like	402863
ENSDARG00000005870	mmadhc	methylmalonic aciduria (cobalamin deficiency) cblD type, with homocystinuria	402886
ENSDARG00000005799	smim14	small integral membrane protein 14	402894
ENSDARG00000003845	chm	choroideremia (Rab escort protein 1)	402935
ENSDARG00000071116	eepd1	endonuclease/exonuclease/phosphatase family domain containing 1	402965
ENSDARG00000011125	snrpb	small nuclear ribonucleoprotein polypeptides B and B1	402966
ENSDARG00000011740	u2af2b	U2 small nuclear RNA auxiliary factor 2b	402989
ENSDARG00000042252	eif4h	eukaryotic translation initiation factor 4h	402996
ENSDARG00000044685	nr0b2a	nuclear receptor subfamily 0, group B, member 2a	403010
ENSDARG00000003526	psma5	proteasome subunit alpha 5	403011
ENSDARG00000075883	bub3	BUB3 mitotic checkpoint protein	403012
ENSDARG00000040812	ncf4	neutrophil cytosolic factor 4	403014
ENSDARG00000035679	si:rp71-45k5.4	si:rp71-45k5.4	403015
ENSDARG00000029911	casc3	cancer susceptibility candidate 3	403025
ENSDARG00000023062	zgc:85866	cysteine-rich, angiogenic inducer, 61	403033
ENSDARG00000054533	araf	A-Raf proto-oncogene, serine/threonine kinase	403063
ENSDARG00000098368	aplp1	amyloid beta (A4) precursor-like protein 1	404233
ENSDARG00000027491	uros	uroporphyrinogen III synthase	404731
ENSDARG00000031095	veph1	ventricular zone expressed PH domain-containing 1	405756
ENSDARG00000001803	kcnh6a	potassium voltage-gated channel, subfamily H (eag-related), member 6a	405763
ENSDARG00000091555	ostf1	osteoclast stimulating factor 1	405783
ENSDARG00000102995	rbm24a	RNA binding motif protein 24a	405801
ENSDARG00000099774	cyb5b	cytochrome b5 type B	405812
ENSDARG00000016233	sdr16c5a	short chain dehydrogenase/reductase family 16C, member 5a	405814
ENSDARG00000043884	nup43	nucleoporin 43	405828
ENSDARG00000014015	zgc:77086	zgc:77086	405841
ENSDARG00000018593	parp16	poly (ADP-ribose) polymerase family, member 16	405842
ENSDARG00000038910	pccb	propionyl CoA carboxylase, beta polypeptide	405861
ENSDARG00000039667	mrpl38	mitochondrial ribosomal protein L38	405881
ENSDARG00000053194	pdzd11	PDZ domain containing 11	405893
ENSDARG00000036721	tomm40l	translocase of outer mitochondrial membrane 40 homolog, like	405895
ENSDARG00000051916	cdk7	cyclin-dependent kinase 7	405897
ENSDARG00000021372	tob1b	transducer of ERBB2, 1b	406245
ENSDARG00000041505	itm2bb	integral membrane protein 2Bb	406248
ENSDARG00000015111	ddx39ab	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39Ab	406249
ENSDARG00000053912	fbl	fibrillarin	406275
ENSDARG00000020311	cnih1	cornichon family AMPA receptor auxiliary protein 1	406282
ENSDARG00000056473	chaf1b	chromatin assembly factor 1, subunit B	406285
ENSDARG00000018461	zgc:56095	zgc:56095	406286
ENSDARG00000009342	txndc5	thioredoxin domain containing 5	406289
ENSDARG00000058454	dynll1	dynein, light chain, LC8-type 1	406297
ENSDARG00000103163	tomm20a	translocase of outer mitochondrial membrane 20	406309
ENSDARG00000075323	srfbp1	serum response factor binding protein 1	406321
ENSDARG00000007216	abce1	ATP-binding cassette, sub-family E (OABP), member 1	406324
ENSDARG00000037559	uba1	ubiquitin-like modifier activating enzyme 1	406335
ENSDARG00000029292	zgc:55943	zgc:55943	406337
ENSDARG00000100515	dusp1	dual specificity phosphatase 1	406340
ENSDARG00000100741	cdc20	cell division cycle 20 homolog	406353
ENSDARG00000020529	hacl1	2-hydroxyacyl-CoA lyase 1	406358
ENSDARG00000101047	rtcb	RNA 2',3'-cyclic phosphate and 5'-OH ligase	406376
ENSDARG00000019924	cmpk	cytidylate kinase	406383
ENSDARG00000043371	mdh2	malate dehydrogenase 2, NAD (mitochondrial)	406405
ENSDARG00000009534	wls	wntless Wnt ligand secretion mediator	406420
ENSDARG00000021346	pdhb	pyruvate dehydrogenase (lipoamide) beta	406428
ENSDARG00000039969	akirin1	akirin 1	406432
ENSDARG00000037284	ptges3a	prostaglandin E synthase 3a (cytosolic)	406449
ENSDARG00000075014	sqstm1	sequestosome 1	406452
ENSDARG00000037158	rcc1	regulator of chromosome condensation 1	406457
ENSDARG00000020114	slc20a1a	solute carrier family 20, member 1a	406458
ENSDARG00000031795	abcf1	ATP-binding cassette, sub-family F (GCN20), member 1	406467
ENSDARG00000014386	galnt6	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6 (GalNAc-T6)	406477
ENSDARG00000070475	khdrbs1b	KH domain containing, RNA binding, signal transduction associated 1b	406516
ENSDARG00000014591	ilf2	interleukin enhancer binding factor 2	406517
ENSDARG00000032708	arl4cb	ADP-ribosylation factor-like 4Cb	406531
ENSDARG00000006125	csnk1db	casein kinase 1, delta b	406533
ENSDARG00000013856	amy2a	amylase, alpha 2A (pancreatic)	406539
ENSDARG00000043716	cldn5a	claudin 5a	406559
ENSDARG00000058148	dnajc7	DnaJ (Hsp40) homolog, subfamily C, member 7	406579
ENSDARG00000099241	ppp2cb	protein phosphatase 2, catalytic subunit, beta isozyme	406582
ENSDARG00000016156	fam53b	family with sequence similarity 53, member B	406586
ENSDARG00000099865	hnrnpabb	heterogeneous nuclear ribonucleoprotein A/Bb	406594
ENSDARG00000017757	pik3cg	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit gamma	406598
ENSDARG00000014313	atp5j	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F6	406599
ENSDARG00000098635	irf2bp2b	interferon regulatory factor 2 binding protein 2b	406614
ENSDARG00000036942	gpd1c	glycerol-3-phosphate dehydrogenase 1c	406615
ENSDARG00000014517	usp5	ubiquitin specific protease 5	406618
ENSDARG00000100363	dcun1d5	DCN1, defective in cullin neddylation 1, domain containing 5 (S. cerevisiae)	406622
ENSDARG00000033855	rqcd1	RCD1 required for cell differentiation1 homolog (S. pombe)	406632
ENSDARG00000105014	mre11a	MRE11 homolog A, double strand break repair nuclease	406637
ENSDARG00000039980	ppt1	palmitoyl-protein thioesterase 1 (ceroid-lipofuscinosis, neuronal 1, infantile)	406648
ENSDARG00000087927	nudt9	nudix (nucleoside diphosphate linked moiety X)-type motif 9	406661
ENSDARG00000033666	pi4k2a	phosphatidylinositol 4-kinase type 2 alpha	406667
ENSDARG00000028614	mospd1	motile sperm domain containing 1	406678
ENSDARG00000017093	emc8	ER membrane protein complex subunit 8	406679
ENSDARG00000010279	scamp2	secretory carrier membrane protein 2	406687
ENSDARG00000043209	nsun5	NOP2/Sun domain family, member 5	406690
ENSDARG00000030106	stmn4	stathmin-like 4	406710
ENSDARG00000030573	nudt1	nudix (nucleoside diphosphate linked moiety X)-type motif 1	406727
ENSDARG00000030064	plekha1a	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1a	406745
ENSDARG00000013122	maf1	MAF1 homolog, negative regulator of RNA polymerase III	406750
ENSDARG00000007323	chmp4bb	charged multivesicular body protein 4Bb	406766
ENSDARG00000103978	sh3bp5b	SH3-domain binding protein 5b (BTK-associated)	406767
ENSDARG00000045199	zgc:55262	zgc:55262	406768
ENSDARG00000003808	aqp3a	aquaporin 3a	406777
ENSDARG00000012314	usp25	ubiquitin specific peptidase 25	406790
ENSDARG00000104372	gnb1b	guanine nucleotide binding protein (G protein), beta polypeptide 1b	406796
ENSDARG00000008748	ube2na	ubiquitin-conjugating enzyme E2Na	406807
ENSDARG00000053101	prpf38b	pre-mRNA processing factor 38B	406810
ENSDARG00000103553	sf3b3	splicing factor 3b, subunit 3	406824
ENSDARG00000023820	faxdc2	fatty acid hydroxylase domain containing 2	406828
ENSDARG00000036831	rnf41	ring finger protein 41	406837
ENSDARG00000002184	igbp1	immunoglobulin (CD79A) binding protein 1	406843
ENSDARG00000015757	tmem50a	transmembrane protein 50A	406850
ENSDARG00000010078	nup133	nucleoporin 133	406852
ENSDARG00000020926	creb3l3l	cAMP responsive element binding protein 3-like 3 like	406853
ENSDARG00000038185	gh1	growth hormone 1	407639
ENSDARG00000015851	pnn	pinin, desmosome associated protein	407733
ENSDARG00000021869	rcan2	regulator of calcineurin 2	407988
ENSDARG00000014866	hprt1l	hypoxanthine phosphoribosyltransferase 1, like	415146
ENSDARG00000038566	gnptg	N-acetylglucosamine-1-phosphate transferase, gamma subunit	415147
ENSDARG00000091402	eif2b1	eukaryotic translation initiation factor 2B, subunit 1 alpha	415150
ENSDARG00000036995	lsm6	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated	415167
ENSDARG00000035573	zgc:86811	zgc:86811	415208
ENSDARG00000020279	efcab7	EF-hand calcium binding domain 7	415210
ENSDARG00000001241	puf60b	poly-U binding splicing factor b	415211
ENSDARG00000056479	rab1bb	RAB1B, member RAS oncogene family b	415219
ENSDARG00000020454	psmd8	proteasome 26S subunit, non-ATPase 8	415221
ENSDARG00000044241	dram2b	DNA-damage regulated autophagy modulator 2b	415225
ENSDARG00000033370	ppil3	peptidylprolyl isomerase (cyclophilin)-like 3	415236
ENSDARG00000041592	dcun1d2b	DCN1, defective in cullin neddylation 1, domain containing 2b	415246
ENSDARG00000028379	trub2	TruB pseudouridine (psi) synthase family member 2	431747
ENSDARG00000104571	gadd45ab	growth arrest and DNA-damage-inducible, alpha, b	431763
ENSDARG00000043722	cpa4	carboxypeptidase A4	431764
ENSDARG00000018658	aar2	AAR2 splicing factor homolog (S. cerevisiae)	431768
ENSDARG00000026198	enoph1	enolase-phosphatase 1	431773
ENSDARG00000034178	cpsf1	cleavage and polyadenylation specific factor 1	432372
ENSDARG00000041870	ift172	intraflagellar transport 172	432389
ENSDARG00000038066	kpna2	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	436607
ENSDARG00000013776	thop1	thimet oligopeptidase 1	436628
ENSDARG00000016649	akr7a3	aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)	436642
ENSDARG00000038567	tsr3	TSR3, 20S rRNA accumulation, homolog (S. cerevisiae)	436643
ENSDARG00000057630	galm	galactose mutarotase	436646
ENSDARG00000053485	aldh6a1	aldehyde dehydrogenase 6 family, member A1	436647
ENSDARG00000031776	zgc:92066	zgc:92066	436651
ENSDARG00000038693	gng7	guanine nucleotide binding protein (G protein), gamma 7	436670
ENSDARG00000019222	mrpl24	mitochondrial ribosomal protein L24	436674
ENSDARG00000104907	ing2	inhibitor of growth family, member 2	436721
